modelo;aro;furac�o;offset;acabamento
AMG;18x8;5X112;40;BLACK DIAMOND (BD)
AMG;19X8,5;5X112;45;BLACK DIAMOND (BD)
ARION;19X8,5;5X100;45;BLACK (B)
ARION;19X8,5;5X100;45;GRAFITE BRILHANT (GB)
ARION;19X8,5;5X100;45;SILVER STAR (SS)
ARION;19X8,5;5X105;45;BLACK (B)
ARION;19X8,5;5X108;45;BLACK (B)
ARION;19X8,5;5X108;45;BRONZE FOSCO (BZF)
ARION;19X8,5;5X108;45;GRAFITE BRILHANT (GB)
ARION;19X8,5;5X108;45;SILVER STAR (SS)
ARION;19X8,5;5X113;45;BLACK (B)
ARION;19X8,5;5X113;45;BRONZE FOSCO (BZF)
ARION;19X8,5;5X113;45;GRAFITE BRILHANT (GB)
ARION;19X8,5;5X113;45;SILVER STAR (SS)
ARION;19X8,5;5X120;45;BLACK (B)
ARION;19X8,5;5X120;45;GBRONZE FOSCO (BFZ)
ARION;19X8,5;5X120;45;GRAFITE BRILHANT (GB)
ARION;19X8,5;5X120;45;SILVER STAR (SS)
B20;15x6;4X99;35;BLACK (B)
B20;15x6;4X99;35;SILVER STAR (SS)
BALLINA;15x7;4X99/108;35;PRATA DIAM (SD)
BALLINA;17x6;4X99;38;PRATA DIAM (SD)
G10;15x6;4X99;38;BLACK DIAMOND (BD)
BMW;20x8;5X112;30;BLACK DIAMOND (BD)
BMW;20x8;5X120;35;BLACK DIAMOND (BD)
BRW1860;20X7,5;5X110;40;SILVER STAR (SS)
C10;17x4;4X100;-44;BLACK DIAMOND (BD)
C10;17x4;5X114;-44;BLACK DIAMOND (BD)
C10;15x4;4X100;10;BRUTA (BRUTA)
C10;15x4;4X100;-10;BLACK DIAMOND (BD)
C10;15x4;4X100;-10;POLIDA (P)
C10;15x4;5X114;10;BRUTA (BRUTA)
C10;15x4;5X114;-10;BLACK DIAMOND (BD)
C10;15x4;5X114;-10;POLIDA (P)
C10;15x7;4X100;10;BRUTA (BRUTA)
C10;15x7;4X100;30;BRUTA (BRUTA)
C10;15x7;4X100;30;BLACK DIAMOND (BD)
C10;15x7;4X100;30;POLIDA (P)
C10;15x7;5X100;30;BLACK DIAMOND (BD)
C10;15x7;5X114;25;BRUTA (BRUTA)
C10;15x7;5X114;25;BLACK DIAMOND (BD)
C10;15x7;5X114;25;POLIDA (P)
C10;15x8;5X114;20;BRUTA (BRUTA)
C10;15x8;5X114;20;BLACK DIAMOND (BD)
C10;15x8;5X114;20;POLIDA (P)
C10;17x7;4X100;37;BLACK DIAMOND (BD)
C10;17X7;5X100;37;DOURADA DIAMANTADA (DD)
C10;17x7;5X114;37;BRUTA (BRUTA)
C10;17x7;5X114;37;BLACK DIAMOND (BD)
C10;17x7;5X114;37;POLIDA (P)
C14;15x4;4X100;-10;BLACK DIAMOND (BD)
C14;15x4;5X114;-10;BLACK DIAMOND (BD)
C14;15x7;4X100;30;BLACK DIAMOND (BD)
C14;15x7;5X114;25;BLACK DIAMOND (BD)
C14;15x8;4X100;20;BLACK DIAMOND (BD)
C14;15x8;5X114;20;BRUTA (BRUTA)
C14;15x8;5X114;20;BLACK DIAMOND (BD)
C17;15x4;4X100;-10;BLACK DIAMOND (BD)
C17;15x4;4X100;-10;HYPER DIAMOND (HD)
C17;15x4;5X114;-10;HYPER DIAMOND (HD)
C17;15x7;4X100;30;BLACK DIAMOND (BD)
C17;15x7;4X100;30;HYPER DIAMOND (HD)
C17;15x7;5X114;25;BLACK DIAMOND (BD)
C17;15x7;5X114,3;25;HYPER DIAMOND (HD)
C17;15x8;4X100;20;HYPER DIAMOND (HD)
C17;15x8;5X114;20;BLACK DIAMOND (BD)
C17;15x8;5X114,3;20;HYPER DIAMOND (HD)
C17;17x7;4X100;37;BLACK DIAMOND (BD)
C17;17x7;4X100;37;HYPER DIAMOND (HD)
C65;15x4;4X100;-10;BLACK (B)
C65;15x4;5X114;-10;BLACK (B)
C65;15x7;4x100;30;BLACK (B)
C65;15x7;5X114;25;BLACK (B)
C65;15x8;4X100;20;BLACK (B)
C65;15x8;5X114;20;BLACK (B)
C65;17x7;4X100;37;BLACK (B)
C65;17x7;5X100;37;BLACK (B)
C65;17x7;5X114;37;BLACK (B)
C9;15x4;4X100;10;BRUTA (BRUTA)
C9;15x4;4X100;10;HYPER DIAMOND (HD)
C9;15x4;4X100;-10;POLIDA (P)
C9;15X4;5X114;10;BRUTA (BRUTA)
C9;15x4;5X114;-10;HYPER DIAMOND (HD)
C9;15x4;5X114;-10;POLIDA (P)
C9;15x7;4X100;30;BRUTA (BRUTA)
C9;15x7;4X100;30;HYPER DIAMOND (HD)
C9;15x7;4X100;30;POLIDA (P)
C9;15X7;5X114;25;BRUTA (BRUTA)
C9;15x7;5X114;25;HYPER DIAMOND (HD)
C9;15x7;5X114;25;POLIDA (P)
C9;15x8;4X100;20;HYPER DIAMOND (HD)
C9;15x8;5X114,3;20;BRUTA (BRUTA)
C9;15x8;5X114;20;HYPER DIAMOND (HD)
C9;15x8;5X114;20;POLIDA (P)
C9;17x7;4X100;37;HYPER DIAMOND (HD)
CENTAURO;20x8;5X113;30;BLACK FOSCO DIAMOND (BFD)
DISCOVERY;19X8,5;5X108;42;BLACK FOSCO (BF)
DISCOVERY;19X8,5;5X108;42;GRAFITE FOSC (GF)
DISCOVERY;19X8,5;5X108;42;SILVER STAR (SS)
DISCOVERY;19X8,5;5X113;42;BLACK FOSCO (BF)
